Kelinci Perobaan,Dosis Chalestrol,Mean darah chalestrol,Berat awal,berat awal-akhir,Kadar Atherosclerosis
1,30,424,2.46,0.9,2
2,30,313,2.39,0.91,0
3,35,243,2.75,0.95,2
4,35,365,2.19,0.95,2
5,43,369,2.67,1,3
6,43,356,2.74,0.79,2
7,44,346,2.55,1.26,3
8,44,156,2.58,0.95,0
9,44,278,2.49,1.1,4
10,44,349,2.52,0.88,1
11,44,141,2.36,1.29,1
12,44,245,2.36,0.97,1
13,45,297,2.56,1.11,3
14,45,310,2.62,0.94,2
15,45,151,3.39,0.96,3
16,45,370,3.57,0.88,4
17,45,379,1.98,1.47,4
18,45,463,2.06,1.05,3
19,45,316,2.45,1.32,4
20,45,280,2.25,1.08,4
21,49,395,2.15,1.01,1
22,49,139,2.2,1.36,0
23,49,245,2.05,1.13,4
24,49,373,2.15,0.88,1
25,51,224,2.15,1.18,3
26,51,677,2.1,1.16,4
27,51,424,2.1,1.4,4
28,51,150,2.1,1.05,0
